agency_name;route_short_name;route_long_name;Type;bus_type;route_id;<-- REMARK;col_7;REMARK -->;route_short_name_1;route_long_name_1;route_id_1
EBS;315;van Amsterdam Noord naar Marken;Streekbus;1;60897;;;;315;Amsterdam Noord - Broek in Waterland - Monnickendam - Marken;60897
EBS;316;van Amsterdam CS naar Volendam-Edam;Streekbus;1;60896;;;;316;Amsterdam CS - Broek in Waterland - Volendam - Edam;60896
EBS;319;van Amsterdam Noord naar Landsmeer;Streekbus;1;60899;;;;319;Amsterdam Noord - Landsmeer;60899
Connexxion;320;Amsterdam - Hilversum;Streekbus;1;63657;;;;320;Hilversum - Blaricum Bijvanck - Huizen - Blaricum Ziekenhuis - Naarden - Muiden - Amsterdam Amstel;51872
allGo (Keolis);322;Amsterdam Amstel via 't Oor - Almere Parkwijk;Streekbus;1;54596;now 72596;;;322;Almere Station Parkwijk - Tussen de Vaarten - Sallandsekant - Danswijk - Veluwsekant - Busstation 't Oor - Gooisekant - Middenkant - Station Poort - Muiden P+R - Diemerknoop - Amsterdam Middenweg - Amstelstation;54596
allGo (Keolis);323;A'dam Bijlmer via 't Oor - Almere Parkwijk;Streekbus;1;61376;now 67765;;;;;
allGo (Keolis);327;Amsterdam Amstel via Muiden P+R - Almere Haven;Streekbus;1;66978;;;;327;Almere Haven - Busstation 't Oor - Muiden P+R - Diemerknoop - Amsterdam Middenweg - Amstelstation;54599
allGo (Keolis);328;A'dam Bijlmer via Muiden P+R - Almere Haven;Streekbus;1;66977;;;;328;Almere Haven - Busstation 't Oor - Muiden P+R - Diemerknoop - Amsterdam Daalwijkdreef - Bijlmerplein - Bijlmer ArenA;61375
Connexxion;340;Haarlem Station - Uithoorn via Hoofddorp Station;Streekbus;1;65606;;;;340;Haarlem - Heemstede - Hoofddorp - Rozenburg - Aalsmeer - Uithoorn - Mijdrecht;62513
Connexxion;341;Spaarne Gasthuis - WTC/Zuid via Hoofddorp Station;Streekbus;1;62512;;;;341;Hoofddorp - Schiphol - Amsterdam Zuid;62512
Connexxion;342;Uithoorn - Schiphol Knooppunt Noord via Airport;Streekbus;1;63626;;;;342;Schiphol - Aalsmeer - Uithoorn;62183
Connexxion;346;Haarlem Station - Amsterdam Station Zuid;Streekbus;1;62515;;;;346;Haarlem - Amsterdam Zuid;62515
Connexxion;347;Uithoorn - Amsterdam Elandsgracht via Amstelveen;Streekbus;1;62514;;;;347;Amsterdam Centrum - Amstelveen - Uithoorn;62514
Connexxion;348;Uithoorn - Amsterdam Station Zuid via Amstelveen;Streekbus;1;62511;;;;348;Amsterdam Zuid - Amstelveen - Uithoorn;62511
Arriva;350;Alkmaar - Leeuwarden;Streekbus;1;210;Concessie Noord- en Zuidwest-Fryslân en Schiermonnikoog;;;;;
Connexxion;356;Haarlem Station - A'dam Bijlmer ArenA via KP Noord;Streekbus;1;63678;;;;356;Haarlem - Schiphol Noord - Amstelveen Ouderkerkerlaan - Ouderkerk aan de Amstel - Amsterdam Zuidoost;62546
Connexxion;357;Aalsmeer - Amsterdam Elandsgracht via Amstelveen;Streekbus;1;62547;;;;357;Amsterdam Centrum - Amstelveen - Aalsmeer;62547
Connexxion;358;Kudelstaart/Aalsmeer - A'dam Station Zuid via ASV;Streekbus;1;62545;;;;358;Amsterdam Zuid - Amstelveen - Aalsmeer - Kudelstaart;62545
Arriva;361;Sassenheim via Lisse - Schiphol Airport;Streekbus;1;42409;;;;361;Sassenheim - Lisse - Schiphol;42409
Arriva;365;Schiphol Airport - Leiden Centraal;Streekbus;1;52884;;;;365;Leiden - Leiderdorp - Roelofarendsveen - Hoofddorp - Schiphol;52884
EBS;375;van Amsterdam ZO naar Purmerend;Streekbus;1;62476;;;;;;
EBS;376;van Amsterdam ZO naar Purmerend;Streekbus;1;62478;;;;376;Amsterdam Zuidoost - Diemen - Ilpendam - Purmerend;62478
EBS;377;van Amsterdam ZO naar Purmerend;Streekbus;1;62477;;;;;;
EBS;378;van Amsterdam ZO naar Edam;Streekbus;1;62480;;;;;;
EBS;379;van Amsterdam ZO naar Hoorn;Streekbus;1;62479;;;;;;
Connexxion;382;IJmuiden Seaport - Amsterdam Station Sloterdijk;Streekbus;1;63648;;;;382;Amsterdam Sloterdijk - Amsterdam Westpoort - Haarlemmerliede - Velsen Zuid - IJmuiden;51871
Connexxion;385;Haarlem Station - IJmuiden;Streekbus;1;63647;;;;385;Haarlem - Santpoort - Driehuis - IJmuiden;51870
Connexxion;391;Amsterdam CS - Zaandijk Zaanse Schans;Streekbus;1;63665;;;;391;Amsterdam Centraal - Zaandam De Vlinder - Kogerveld - Zaanse Schans;51874
